Wavelength,Total PE,Total PE stdev,PE mz 56.0,PE mz 56.0 stdev,PE mz 115.0,PE mz 115.0 stdev,PE mz 130.0,PE mz 130.0 stdev,PE mz 140.0,PE mz 140.0 stdev,PE mz 142.0,PE mz 142.0 stdev,PE mz 154.0,PE mz 154.0 stdev,PE mz 157.0,PE mz 157.0 stdev,PE mz 168.0,PE mz 168.0 stdev,PE mz 171.0,PE mz 171.0 stdev,PE mz 181.0,PE mz 181.0 stdev,PE mz 183.0,PE mz 183.0 stdev,PE mz 185.0,PE mz 185.0 stdev,PE mz 199.0,PE mz 199.0 stdev,PE mz 209.0,PE mz 209.0 stdev
436.000000,114.590032,33.025057,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639,23.543719,17.869639
438.000000,129.971614,30.647683,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066,27.832658,19.096066
440.000000,83.499804,21.994406,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773,12.209508,8.235773
442.000000,73.668140,23.570497,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229,9.894970,7.738229
444.000000,58.703332,21.432550,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462,6.817493,4.940462
446.000000,40.072419,7.648512,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721,3.946115,2.007721
448.000000,31.545223,10.293829,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134,2.932067,2.510134
450.000000,21.429530,6.907953,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619,1.832944,1.293619
452.000000,19.550635,4.739151,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964,1.653478,1.176964
454.000000,14.989326,3.927847,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352,1.211842,0.783352
456.000000,16.283559,5.892735,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070,1.327625,1.132070
458.000000,11.641134,3.848351,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254,0.916621,0.757254
460.000000,8.870105,2.227235,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946,0.681731,0.477946
462.000000,7.139592,1.890906,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855,0.539891,0.393855
464.000000,5.400441,1.528281,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078,0.402859,0.318078
466.000000,5.140508,2.460422,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426,0.381517,0.439426
468.000000,5.175736,1.735289,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720,0.383317,0.406720
470.000000,5.139181,1.573369,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602,0.381095,0.336602
472.000000,4.679522,1.814613,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939,0.344659,0.364939
474.000000,4.408926,1.162682,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149,0.323856,0.294149
476.000000,2.725386,1.168939,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008,0.197616,0.252008
478.000000,3.214858,1.240847,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255,0.233626,0.276255
480.000000,4.895706,1.799998,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021,0.359359,0.426021
482.000000,2.782488,1.115525,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248,0.201656,0.255248
484.000000,4.318893,1.603955,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614,0.315339,0.411614
